Year,Player,Birth,B,T,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,Awards
2026,Francisco Alvarez,ve VE,R,R,37,32,37,31,0,31,0,0,0,0,0,0,0,0,4,4,0,
2026,Brett Baty,us US,L,R,39,32,39,35,0,0,11,1,10,0,0,0,17,17,3,5,0,
2026,Carson Benge,us US,L,R,39,34,39,39,0,0,0,0,0,0,15,8,20,39,0,2,0,
2026,Bo Bichette,us US,R,R,42,42,42,41,0,0,0,0,33,11,0,0,0,0,1,0,0,
2026,Huascar Brazobán,do DO,R,R,18,2,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Vidal Bruján,do DO,B,R,2,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,
2026,Carl Edwards Jr.,us US,R,R,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
2026,A.J. Ewing,us US,L,R,2,2,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,
2026,Luis García,do DO,R,R,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Joey Gerber,us US,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Clay Holmes,us US,R,R,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Andy Ibáñez,cu CU,R,R,3,3,3,3,0,0,0,0,1,0,2,0,0,2,0,0,0,
2026,Craig Kimbrel,us US,R,R,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Francisco Lindor,pr PR,B,R,24,24,24,24,0,0,0,0,0,24,0,0,0,0,0,0,0,
2026,Richard Lovelady,us US,L,L,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
2026,Sean Manaea,us US,R,L,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Ronny Mauricio,do DO,B,R,10,9,10,9,0,0,0,0,1,8,0,0,0,0,1,1,0,
2026,Nolan McLean,us US,R,R,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
2026,MJ Melendez,us US,L,R,22,16,22,9,0,0,0,0,0,0,6,0,3,9,9,6,0,
2026,Tobias Myers,us US,R,R,13,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Freddy Peralta,do DO,R,R,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2026,David Peterson,us US,L,L,9,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Tommy Pham,us US,R,R,9,4,9,6,0,0,0,0,0,0,6,0,0,6,0,3,1,
2026,Jorge Polanco,do DO,B,R,14,14,14,2,0,0,2,0,0,0,0,0,0,0,12,0,0,
2026,Brooks Raley,us US,L,L,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Luis Robert Jr.,cu CU,R,R,24,23,24,24,0,0,0,0,0,0,0,24,0,24,0,0,1,
2026,Christian Scott,us US,R,R,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Marcus Semien,us US,R,R,42,42,42,42,0,0,0,42,0,0,0,0,0,0,0,0,0,
2026,Kodai Senga,jp JP,L,R,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Austin Slater,us US,R,R,8,3,8,6,0,0,0,0,0,0,4,0,2,6,2,5,0,
,,,,,,,,,,,,,,,,,,,,,,
2026,Juan Soto,do DO,L,L,27,27,27,14,0,0,0,0,0,0,14,0,0,14,13,0,0,
2026,Tyrone Taylor,us US,R,R,34,19,34,31,0,0,0,0,0,0,8,11,12,31,2,5,4,
2026,Luis Torrens,ve VE,R,R,20,14,20,19,0,18,1,0,0,0,0,0,0,0,1,4,0,
2026,Mark Vientos,us US,R,R,34,31,34,31,0,0,31,0,0,0,0,0,0,0,2,3,0,
2026,Austin Warren,us US,R,R,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Luke Weaver,us US,R,R,17,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Devin Williams,us US,R,R,16,0,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
2026,Jared Young,ca CA,L,R,11,6,11,9,0,0,5,0,0,0,3,0,1,4,1,3,2,
2025,Luisangel Acuña,ve VE,R,R,95,45,95,91,0,0,0,81,6,7,0,2,0,2,0,4,23,
2025,Ty Adcock,us US,R,R,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Pete Alonso,us US,R,R,162,161,162,160,0,0,160,0,0,0,0,0,0,0,2,0,0,"AS,MVP-11,SS"
2025,Francisco Alvarez,ve VE,R,R,76,68,76,74,0,74,0,0,0,0,0,0,0,0,2,4,0,
2025,José Azócar,ve VE,R,R,12,5,12,8,0,0,0,0,0,0,3,3,3,8,0,1,5,
2025,Brett Baty,us US,L,R,130,106,130,123,0,0,0,57,87,0,0,0,0,0,3,15,1,
2025,Paul Blackburn,us US,R,R,7,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Huascar Brazobán,do DO,R,R,52,3,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,
2025,José Buttó,ve VE,R,R,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Génesis Cabrera,do DO,L,L,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Griffin Canning,us US,R,R,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Alex Carrillo,us US,R,R,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2025,José Castillo,ve VE,L,L,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Chris Devenski,us US,R,R,13,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Edwin Díaz,pr PR,R,R,62,0,1,62,62,0,0,0,0,0,0,0,0,0,0,0,0,AS
,,,,,,,,,,,,,,,,,,,,,,
2025,Rico Garcia,us US,R,R,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Reed Garrett,us US,R,R,58,1,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Justin Garza,us US,R,R,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Justin Hagenman,us US,R,R,9,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Dom Hamel,us US,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Ryan Helsley,us US,R,R,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Kevin Herget,us US,L,R,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Clay Holmes,us US,R,R,33,31,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Travis Jankowski,us US,L,R,5,0,4,3,1,0,0,0,0,0,1,0,1,2,1,1,2,
2025,Max Kranick,us US,R,R,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Francisco Lindor,pr PR,B,R,160,159,160,158,0,0,0,0,0,158,0,0,0,0,2,1,0,"AS,MVP-10"
2025,Richard Lovelady,us US,L,L,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Sean Manaea,us US,R,L,15,12,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Starling Marte,do DO,R,R,98,74,98,12,0,0,0,0,0,0,9,0,3,12,77,21,2,
2025,Ronny Mauricio,do DO,B,R,61,43,61,53,0,0,0,7,42,5,0,0,0,0,5,9,1,
,,,,,,,,,,,,,,,,,,,,,,
2025,Nolan McLean,us US,R,R,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,ROY-11
2025,Jeff McNeil,us US,L,R,122,113,122,108,0,0,2,79,0,0,10,34,7,48,10,8,0,
2025,Tylor Megill,us US,R,R,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,
2025,A.J. Minter,us US,L,L,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Frankie Montas,do DO,R,R,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Cedric Mullins,us US,L,L,42,34,42,42,0,0,0,0,0,0,0,42,0,42,0,5,0,
2025,Brandon Nimmo,us US,L,R,155,151,155,150,0,0,0,0,0,0,150,5,0,150,4,2,0,
2025,Dedniel Núñez,do DO,R,R,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
2025,David Peterson,us US,L,L,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,AS
2025,Jonathan Pintaro,us US,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Colin Poche,us US,L,L,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Zach Pop,ca CA,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Brooks Raley,us US,L,L,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Tyler Rogers,us US,R,R,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Kodai Senga,jp JP,L,R,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
2025,Hayden Senger,us US,R,R,33,23,33,31,0,31,0,0,0,0,0,0,0,0,0,2,1,
2025,Jose Siri,do DO,R,R,16,12,16,14,0,0,0,0,0,0,0,14,0,14,0,0,2,
2025,Gregory Soto,do DO,L,L,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Juan Soto,do DO,L,L,160,160,160,157,0,0,0,0,0,0,0,0,157,157,3,0,0,"MVP-3,SS"
2025,Brandon Sproat,us US,R,R,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Ryne Stanek,us US,R,R,65,0,1,65,65,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Tyrone Taylor,us US,R,R,113,87,113,111,0,0,0,0,0,0,5,106,3,111,0,6,4,
2025,Blade Tidwell,us US,R,R,4,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Jonah Tong,ca CA,R,R,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Luis Torrens,ve VE,R,R,93,72,92,88,2,86,1,0,0,0,0,0,0,0,2,10,0,
2025,José Ureña,do DO,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Mark Vientos,us US,R,R,121,111,121,75,0,0,3,0,72,0,0,0,0,0,44,9,0,
2025,Brandon Waddell,us US,L,L,11,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Austin Warren,us US,R,R,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Jesse Winker,us US,L,L,26,21,26,2,0,0,0,0,0,0,2,0,0,2,22,5,0,
2025,Jared Young,ca CA,L,R,23,13,22,3,1,0,1,0,0,0,1,0,0,1,14,6,2,
2025,Danny Young,us US,L,L,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
2025,Tyler Zuber,us US,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Luisangel Acuña,ve VE,R,R,14,10,14,12,0,0,0,1,0,12,0,0,0,0,2,0,2,
2024,Ty Adcock,us US,R,R,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Pete Alonso,us US,R,R,162,160,162,161,0,0,161,0,0,0,0,0,0,0,1,1,0,AS
2024,Eddy Alvarez,us US,L,R,13,3,12,12,1,0,0,11,0,1,0,0,0,0,0,0,2,
2024,Francisco Alvarez,ve VE,R,R,100,85,100,96,0,96,0,0,0,0,0,0,0,0,3,5,0,
2024,Harrison Bader,us US,R,R,143,108,143,140,0,0,0,0,0,0,0,140,0,140,1,11,4,
2024,Brett Baty,us US,L,R,50,43,50,47,0,0,0,0,47,0,0,0,0,0,0,6,1,
2024,Paul Blackburn,us US,R,R,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Huascar Brazobán,do DO,R,R,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,
2024,José Buttó,ve VE,R,R,30,7,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Edwin Díaz,pr PR,R,R,55,0,1,54,54,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Jake Diekman,us US,R,L,43,0,1,43,43,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Matt Festa,us US,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Ben Gamel,us US,L,L,18,8,18,15,0,0,0,0,0,0,7,0,10,15,2,2,4,
2024,Reed Garrett,us US,R,R,53,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Grant Hartwig,us US,R,R,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Adrian Houser,us US,R,R,23,7,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Joe Hudson,us US,R,R,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
2024,Jose Iglesias,cu CU,R,R,85,69,85,85,0,0,0,61,36,6,0,0,0,0,0,4,4,
2024,Tyler Jay,us US,L,L,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Francisco Lindor,pr PR,B,R,152,151,152,151,0,0,0,0,0,151,0,0,0,0,1,1,0,"MVP-2,SS"
2024,Jorge López,pr PR,R,R,28,0,1,28,28,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Joey Lucchesi,us US,L,L,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Sean Manaea,us US,R,L,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,CYA-11
2024,Starling Marte,do DO,R,R,94,88,94,85,0,0,0,0,0,0,0,0,85,85,9,4,2,
2024,J.D. Martinez,us US,R,R,120,114,120,0,0,0,0,0,0,0,0,0,0,0,118,6,0,
2024,Phil Maton,us US,R,R,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Jeff McNeil,us US,L,R,129,117,129,128,0,0,0,110,0,0,15,0,17,28,0,7,1,
2024,Tylor Megill,us US,R,R,16,15,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Omar Narváez,ve VE,L,R,28,21,28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
2024,Tomás Nido,pr PR,R,R,32,25,32,32,0,32,0,0,0,0,0,0,0,0,0,3,0,
2024,Brandon Nimmo,us US,L,R,151,146,151,147,0,0,0,0,0,0,142,28,0,147,4,2,1,
2024,Dedniel Núñez,do DO,R,R,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Eric Orze,us US,R,R,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Adam Ottavino,us US,B,R,60,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,
2024,David Peterson,us US,L,L,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Jose Quintana,co CO,R,L,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Brooks Raley,us US,L,L,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Yohan Ramírez,do DO,R,R,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Sean Reid-Foley,gu GU,R,R,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Pablo Reyes,do DO,R,R,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
2024,Christian Scott,us US,R,R,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Kodai Senga,jp JP,L,R,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Luis Severino,do DO,R,R,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Zack Short,us US,R,R,10,3,10,7,0,0,0,1,5,1,0,0,0,0,1,3,3,
,,,,,,,,,,,,,,,,,,,,,,
2024,Drew Smith,us US,R,R,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Ryne Stanek,us US,R,R,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,
2024,DJ Stewart,us US,L,R,74,48,74,36,0,0,1,0,0,0,11,0,26,36,24,24,1,
2024,Cole Sulser,us US,R,R,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Tyrone Taylor,us US,R,R,130,76,130,113,0,0,0,0,0,0,21,44,70,113,7,21,14,
2024,Julio Teheran,co CO,R,R,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Michael Tonkin,us US,R,R,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Luis Torrens,ve VE,R,R,48,35,47,45,1,44,0,0,0,0,0,0,0,0,2,6,1,
2024,Mark Vientos,us US,R,R,111,105,111,110,0,0,4,0,108,0,0,0,0,0,1,5,0,
2024,Josh Walker,us US,L,L,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Joey Wendle,us US,L,R,18,10,18,18,0,0,0,8,7,3,0,0,0,0,0,0,0,
2024,Jesse Winker,us US,L,L,44,33,44,27,0,0,0,0,0,0,12,0,15,27,10,11,0,
2024,Alex Young,us US,L,L,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,
2024,Danny Young,us US,L,L,42,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Abraham Almonte,do DO,B,R,8,3,8,2,0,0,0,0,0,0,1,0,1,2,3,5,0,
2023,Pete Alonso,us US,R,R,154,154,154,144,0,0,144,0,0,0,0,0,0,0,9,0,0,"AS,MVP-17"
2023,Francisco Alvarez,ve VE,R,R,123,103,123,108,0,108,0,0,0,0,0,0,0,0,7,16,2,
2023,Jonathan Araúz,pa PA,B,R,27,17,27,27,0,0,0,7,15,5,0,0,0,0,0,1,0,
2023,Brett Baty,us US,L,R,108,98,108,101,0,0,0,0,100,0,1,0,0,1,4,8,0,
2023,Phil Bickford,us US,R,R,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Jeff Brigham,us US,R,R,37,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,
2023,José Buttó,ve VE,R,R,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Mark Canha,us US,R,R,89,75,89,72,0,0,13,0,4,0,51,0,13,59,15,8,2,
2023,Carlos Carrasco,ve VE,R,R,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Sam Coonrod,us US,R,R,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
2023,John Curtiss,us US,R,R,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Eduardo Escobar,ve VE,B,R,40,32,40,35,0,0,0,9,29,1,0,0,0,0,4,3,2,
2023,Reed Garrett,us US,R,R,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Trevor Gott,us US,R,R,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
2023,Luis Guillorme,ve VE,L,R,54,29,54,49,1,0,0,29,14,9,0,0,0,0,0,9,0,
2023,Grant Hartwig,us US,R,R,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Tommy Hunter,us US,R,R,14,0,2,14,14,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Anthony Kay,us US,L,L,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Adam Kolarek,us US,L,L,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Dominic Leone,us US,R,R,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Francisco Lindor,pr PR,B,R,160,159,160,158,0,0,0,0,0,158,0,0,0,0,1,1,0,"MVP-9,SS"
2023,Tim Locastro,us US,R,R,43,18,43,33,0,0,0,0,0,0,27,5,1,33,5,4,11,
2023,Joey Lucchesi,us US,L,L,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Starling Marte,do DO,R,R,86,82,86,85,0,0,0,0,0,0,0,1,84,85,0,1,2,
2023,Ronny Mauricio,do DO,B,R,26,26,26,26,0,0,0,21,5,2,0,0,0,0,0,0,0,
2023,T.J. McFarland,us US,L,L,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Jeff McNeil,us US,L,R,156,151,156,155,0,0,1,107,0,1,32,3,41,68,0,5,0,
2023,Tylor Megill,us US,R,R,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Danny Mendick,us US,R,R,35,19,33,31,2,0,0,16,9,0,4,0,0,4,3,6,3,
,,,,,,,,,,,,,,,,,,,,,,
2023,Tyson Miller,us US,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Zach Muckenhirn,us US,L,L,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Omar Narváez,ve VE,L,R,49,40,49,47,0,47,0,0,0,0,0,0,0,0,0,3,0,
2023,Tomás Nido,pr PR,R,R,22,18,22,21,0,21,0,0,0,0,0,0,0,0,0,1,0,
2023,Brandon Nimmo,us US,L,R,152,150,152,146,0,0,0,0,0,0,10,136,0,146,5,2,0,
2023,Vinny Nittoli,us US,R,R,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Stephen Nogosek,us US,R,R,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Rafael Ortega,ve VE,L,R,47,34,47,42,0,0,0,0,0,0,19,25,7,42,2,4,5,
2023,Adam Ottavino,us US,B,R,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Michael Pérez,pr PR,L,R,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,
2023,David Peterson,us US,L,L,27,21,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Tommy Pham,us US,R,R,79,63,79,55,0,0,0,0,0,0,51,7,0,55,20,11,4,
2023,Jose Quintana,co CO,R,L,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Brooks Raley,us US,L,L,66,0,1,66,66,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Sean Reid-Foley,gu GU,R,R,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
2023,Denyi Reyes,do DO,R,R,9,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2023,David Robertson,us US,R,R,40,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Gary Sánchez,do DO,R,R,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,
2023,Dennis Santana,do DO,R,R,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Max Scherzer,us US,R,R,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Kodai Senga,jp JP,L,R,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"AS,CYA-7,ROY-2"
2023,Drew Smith,us US,R,R,63,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,
2023,DJ Stewart,us US,L,R,58,45,58,48,0,0,0,0,0,0,4,0,44,48,7,5,3,
2023,Edwin Uceta,do DO,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Justin Verlander,us US,R,R,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Mark Vientos,us US,R,R,65,60,65,28,0,0,10,0,19,0,0,0,0,0,38,5,0,
2023,Daniel Vogelbach,us US,L,R,104,78,104,0,0,0,0,0,0,0,0,0,0,0,86,26,0,
2023,Josh Walker,us US,L,L,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Jimmy Yacabonis,us US,R,R,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Pete Alonso,us US,R,R,160,160,160,134,0,0,134,0,0,0,0,0,0,0,27,0,0,"AS,MVP-8"
2022,R.J. Alvarez,us US,R,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Francisco Alvarez,ve VE,R,R,5,2,5,2,0,2,0,0,0,0,0,0,0,0,3,2,0,
2022,Chris Bassitt,us US,R,R,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Brett Baty,us US,L,R,11,11,11,11,0,0,0,0,11,0,0,0,0,0,0,0,0,
2022,Travis Blankenhorn,us US,L,R,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2022,José Buttó,ve VE,R,R,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Mark Canha,us US,R,R,140,124,140,132,0,0,1,0,1,0,123,11,6,132,3,10,3,
2022,Robinson Canó,do DO,L,R,12,11,12,7,0,0,0,7,0,0,0,0,0,0,5,1,0,
2022,Carlos Carrasco,ve VE,R,R,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Álex Claudio,pr PR,L,L,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Sam Clay,us US,L,L,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022,J.D. Davis,us US,R,R,66,48,66,15,0,0,4,0,12,0,0,0,0,0,45,15,2,
