Rk,Name,S,C,F,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,Pos Summary
1,David Aardsma,-,-,-,1,2013,2013,0,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
2,Don Aase,-,-,-,1,1989,1989,0,49,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,1
3,Kurt Abbott,-,-,-,1,2000,2000,0,79,173,157,22,34,7,1,6,12,1,1,14,51,.217,.283,.389,.672,71,6-4-5-O
4,Bobby Abreu,-,-,F,1,2014,2014,0,78,155,133,12,33,9,0,1,14,1,0,20,21,.248,.342,.338,.680,97,O
5,Juan Acevedo,-,-,-,1,1997,1997,0,22,7,6,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,-1
6,Manny Acosta,-,-,F,3,2010,2012,0,126,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
7,Luisangel AcuÃ±a,S,-,-,2,2024,2025,0,109,233,214,36,53,9,1,3,14,16,2,14,43,.248,.299,.341,.640,82,4-6-5-O
8,Ty Adcock,-,-,F,2,2024,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
9,Jon Adkins,-,-,-,1,2007,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
10,Benny Agbayani,S,-,-,4,1998,2001,0,322,1084,937,130,264,51,6,35,129,15,16,123,206,.282,.372,.461,.833,115,O
11,Tommie Agee,-,-,-,5,1968,1972,0,661,2687,2416,344,632,107,14,82,265,92,47,232,572,.262,.329,.419,.748,110,+O
12,Chris Aguila,-,-,F,1,2008,2008,0,8,15,12,0,2,0,0,0,0,0,0,2,4,.167,.286,.167,.452,24,-O
13,Rick Aguilera,S,-,-,5,1985,1989,0,119,160,138,12,28,3,0,3,11,0,0,6,37,.203,.236,.290,.526,46,1
14,Jack Aker,-,-,F,1,1974,1974,0,24,2,2,1,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,315,-1
